"filename", "language", "Markdown", "YAML", "JSON", "Groovy", "Python", "Dart", "Properties", "Swift", "XML", "C++", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-08-03_10-39-21/details.md", "Markdown", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-08-03_10-39-21/results.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-08-20_16-13-32/details.md", "Markdown", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 133
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-08-20_16-13-32/results.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-09-01_11-08-16/details.md", "Markdown", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 142
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-09-01_11-08-16/results.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-09-03_12-38-33/details.md", "Markdown", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 146
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2021-09-03_12-38-33/results.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 29
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/build.gradle", "Groovy", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 2, 12, 66
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/google-services.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 11, 1, 42
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-night-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-night/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 0, 19
