"filename", "language", "Python", "JSON", "YAML", "Groovy", "Properties", "XML", "Dart", "Markdown", "Swift", "C++", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 17, 5, 63
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 18, 2, 21
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/encryption_contract.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 17, 2, 23
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/assignment.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 17, 18, 171
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/block.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 17, 17, 94
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/class.dart", "Dart", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 17, 29, 198
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/current_day.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 17, 19, 177
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/event.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 17, 17, 94
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/grade.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 17, 15, 92
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/journal_entry.dart", "Dart", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 17, 16, 137
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/school.dart", "Dart", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 17, 17, 146
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/staff_member.dart", "Dart", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 17, 15, 125
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/student.dart", "Dart", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 17, 44, 317
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/all_students_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 17, 4, 28
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/authentication_service_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 17, 4, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/authentication_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 17, 4, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/firebaseauth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 17, 3, 25
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/journal_entries_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 17, 4, 36
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_block_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_class_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_class_teacher_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 17, 4, 36
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_blocks_future_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_future_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 17, 4, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_repository_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 17, 4, 34
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 5, 36
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_assignments_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 17, 4, 36
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_classes_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_repository_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 17, 4, 26
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_stream_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/authentication/authentication_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 17, 30, 144
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/authentication/authentication_wrapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 17, 12, 100
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/school_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 17, 36, 156
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/student_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 325, 0, 0, 0, 25, 80, 430
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/studentvue_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 27, 45, 302
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/assignment_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 17, 8, 95
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/class_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 17, 11, 122
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/error_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 17, 4, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/sign_in_with_studentvue_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 17, 13, 226
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/sign_out_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 17, 5, 41
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/something_went_wrong.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 17, 5, 53
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/student_id_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 26, 7, 105
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/components/email_text_input.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/components/password_text_input.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_in_view/components/sign_in_view_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_in_view/sign_in_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 17, 12, 175
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_up_view/components/sign_up_view_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_up_view/sign_up_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 17, 9, 115
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/current_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 17, 11, 119
"/Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/components/class_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 17, 11, 123
